"dateRi" "TT_TER" "group_letter" "value" "size" "group"
1978-01-01 2.43333333333333 "A" 6.83020786410346 1.1 4
1978-01-01 2.43333333333333 "P" 7.66731604475046 1.1 2
1978-01-01 2.43333333333333 "R" 6.44335662696797 1.1 3
1978-01-01 2.43333333333333 "M" 7.8888912934392 1.1 1
1978-01-02 3.96666666666667 "A" 7.15141222028539 1.1 4
1978-01-02 3.96666666666667 "P" 7.89127504539107 1.1 2
1978-01-02 3.96666666666667 "R" 6.82055073331006 1.1 3
1978-01-02 3.96666666666667 "M" 8.11874395199141 1.1 1
1978-01-03 2.96666666666667 "A" 6.94193111842761 1.1 4
1978-01-03 2.96666666666667 "P" 7.74521482758198 1.1 2
1978-01-03 2.96666666666667 "R" 6.574554577 1.1 3
1978-01-03 2.96666666666667 "M" 7.96884004423997 1.1 1
1978-01-04 0.566666666666667 "A" 6.43917647396893 1.1 4
1978-01-04 0.566666666666667 "P" 7.39467030484014 1.1 2
1978-01-04 0.566666666666667 "R" 5.98416380185586 1.1 3
1978-01-04 0.566666666666667 "M" 7.60907066563651 1.1 1
1978-01-05 -4.03333333333333 "A" 5.47556340542313 1.1 4
1978-01-05 -4.03333333333333 "P" 6.7227933029183 1.1 2
1978-01-05 -4.03333333333333 "R" 4.85258148282959 1.1 3
1978-01-05 -4.03333333333333 "M" 6.91951268997988 1.1 1
1978-01-06 -1.63333333333333 "A" 5.97831804988181 1.1 4
1978-01-06 -1.63333333333333 "P" 7.07333782566013 1.1 2
1978-01-06 -1.63333333333333 "R" 5.44297225797373 1.1 3
1978-01-06 -1.63333333333333 "M" 7.27928206858334 1.1 1
1978-01-07 0.433333333333333 "A" 6.41124566038789 1.1 4
1978-01-07 0.433333333333333 "P" 7.37519560913226 1.1 2
1978-01-07 0.433333333333333 "R" 5.95136431434785 1.1 3
1978-01-07 0.433333333333333 "M" 7.58908347793632 1.1 1
1978-01-08 -1.2 "A" 6.06909319402018 1.1 4
1978-01-08 -1.2 "P" 7.13663058671074 1.1 2
1978-01-08 -1.2 "R" 5.54957059237476 1.1 3
1978-01-08 -1.2 "M" 7.34424042860896 1.1 1
1978-01-09 1.3 "A" 6.59279594866464 1.1 4
1978-01-09 1.3 "P" 7.50178113123348 1.1 2
1978-01-09 1.3 "R" 6.1645609831499 1.1 3
1978-01-09 1.3 "M" 7.71900019798757 1.1 1
1978-01-10 2.53333333333333 "A" 6.85115597428924 1.1 4
1978-01-10 2.53333333333333 "P" 7.68192206653137 1.1 2
1978-01-10 2.53333333333333 "R" 6.46795624259897 1.1 3
1978-01-10 2.53333333333333 "M" 7.90388168421435 1.1 1
1978-01-11 3.26666666666667 "A" 7.00477544898495 1.1 4
1978-01-11 3.26666666666667 "P" 7.7890328929247 1.1 2
1978-01-11 3.26666666666667 "R" 6.64835342389302 1.1 3
1978-01-11 3.26666666666667 "M" 8.0138112165654 1.1 1
1978-01-12 2.03333333333333 "A" 6.74641542336035 1.1 4
1978-01-12 2.03333333333333 "P" 7.60889195762682 1.1 2
1978-01-12 2.03333333333333 "R" 6.34495816444394 1.1 3
1978-01-12 2.03333333333333 "M" 7.82892973033862 1.1 1
1978-01-13 2.23333333333333 "A" 6.7883116437319 1.1 4
1978-01-13 2.23333333333333 "P" 7.63810400118864 1.1 2
1978-01-13 2.23333333333333 "R" 6.39415739570596 1.1 3
1978-01-13 2.23333333333333 "M" 7.85891051188891 1.1 1
1978-01-14 1.2 "A" 6.57184783847886 1.1 4
1978-01-14 1.2 "P" 7.48717510945257 1.1 2
1978-01-14 1.2 "R" 6.1399613675189 1.1 3
1978-01-14 1.2 "M" 7.70400980721242 1.1 1
1978-01-15 0.166666666666667 "A" 6.35538403322582 1.1 4
1978-01-15 0.166666666666667 "P" 7.3362462177165 1.1 2
1978-01-15 0.166666666666667 "R" 5.88576533933184 1.1 3
1978-01-15 0.166666666666667 "M" 7.54910910253593 1.1 1
1978-01-16 -0.566666666666667 "A" 6.20176455853011 1.1 4
