"Datum" "Date" "P" "Rohr" "Uhrzeit_der_Entnahme" "Wasserstand_unter_Flur_m" "wl" "Entnahmetiefe_m" "Temp" "pH" "ec" "SBV" "Cl" "O2" "O2percent" "COD" "oPO4" "TN" "NO3" "NO2" "NH4" "NO3_in_TN" "NO2_in_TN" "NH4_in_TN" "partMatter" "partOrganics" "COD_KMnO4" "remark" "CO2" "TOC_estimated_mg_L" "DOC_estimated_mg_L" "DOC_estimated_from_TOC" "ProbeRohr" "well_depth" "month_year_date" "sampl" "TS" "AS" "OS" "easting" "northing" "disttowater" "disttoFulda"
"29252" 1980-02-01 "P01" NA NA 0.04 NA 4.5 7.8 6.89 323 1.72 30.4 2.71 23.5 3.7 5 4150 3710 42 400 NA NA NA 24.7 5.5 NA NA NA 1.3875 0.8875 0.41625 NA "P01" "021980" "P01_021980" 39.59 30.83 8.76 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"29252" 1980-02-01 "P03" NA NA 0.11 NA 3.9 3.9 7.03 243 1.47 20.9 4.89 38.4 6.5 46 4230 4130 9 90 97.7 0.2 2.1 215 21 NA NA NA 2.4375 0.528409090909091 0.73125 NA "P03" "021980" "P03_021980" 248.32 223.47 24.84 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"29252" 1980-02-01 "P09" NA NA 0.19 NA 3.6 4.7 6.72 205 0.82 12.4 4.95 38.7 4.6 12 13200 13000 18 205 98.3 0.1 1.6 108 17 NA NA NA 1.725 0.179545454545454 0.5175 NA "P09" "021980" "P09_021980" 128.3 108.5 19.81 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"29252" 1980-02-01 "P11" NA NA 0.44 NA 2.6 5.8 6.68 468 1.53 58.8 3.77 31.3 1.8 2 3810 3750 14 50 NA NA NA 192 27 NA NA NA 0.675 -1.77954545454545 0.2025 NA "P11" "021980" "P11_021980" 268.93 230.86 38.07 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"29252" 1980-02-01 "P24" NA NA 0.05 NA 3.5 6.6 7.26 936 4.02 122.5 1.48 12.5 3.4 3 250 0 12 240 NA NA NA 393 23 NA NA NA 1.275 -0.815909090909091 0.3825 NA "P24" "021980" "P24_021980" 460.53 433.44 27.08 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"29252" 1980-02-01 "P25" NA NA 0.27 NA 4.9 7.7 6.6 233 1.28 24.8 1.35 11.7 3.7 2 480 300 23 155 NA NA NA 329 16 NA NA NA 1.3875 -0.0670454545454545 0.41625 NA "P25" "021980" "P25_021980" 381.16 362.22 18.94 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"29252" 1980-02-01 "P26" NA NA 0.39 NA 4.55 1.8 6.71 212 0.91 17 9.57 70.5 4 50 9800 9630 9 160 NA NA NA 233 25 NA NA NA 1.5 -0.772727272727273 0.45 NA "P26" "021980" "P26_021980" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"29252" 1980-02-01 "P28" NA NA 1 NA 5.1 8.2 6.88 408 1.84 47.8 7.53 66 2.8 24 14000 13800 5 160 NA NA NA 425 26 NA NA NA 1.05 -1.31363636363636 0.315 NA "P28" "021980" "P28_021980" 525.12 495.39 31.73 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"29252" 1980-02-01 "Ful" NA NA NA NA NA 4.6 7.24 277 0.69 52.4 NA NA 4.3 82 NA 3570 29 145 NA NA NA NA NA NA NA NA 1.6125 NA 0.48375 NA "Ful" "021980" "Ful_021980" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"29252" 1980-02-01 "Sei" NA NA NA NA NA 4.9 7.1 216 0.74 21.2 NA NA 5.2 107 NA 5540 31 150 NA NA NA NA NA NA NA NA 1.95 NA 0.585 NA "Sei" "021980" "Sei_021980" NA NA NA 547768.354841584 5597643.29771444 0 4
