"sampl" "Bathynella" "Cladocera" "Collembola" "Crangonyx" "Cyclopoida" "Graeteriella" "Halacarida_Ac_terr" "Harpacticoida" "Nauplius" "Nematoda" "Niphargus" "Oligochaeta" "Ostracoda" "Parastenocaris" "Tardigrada" "Troglochaetus" "insect_larvae"
"P01_011978" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P01_011979" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P03_011979" 0 0 35.2016016 89.4293732460242 3705.39501094065 0.654214767664563 0.2648008 0 10.8348438131996 0.00453333333333334 112 62.0588188 0 0 0.10976033079207 0 0
"P04_011979" 0 0 5.28024024 26.8288119738073 5.83101648231957 0.247912964588676 0 0 0 0 16.8 0 0 0 0 0 1.58448048
"P05_011979" 0 0 0 0 1.94367216077319 0 0 0 0 0 0 0 0 0.00219285 0 0 0
"P06_011978" 0 0 0 0 84.2257936335048 1.65275309725784 12.47211768 0 0.117828926468546 0.28832 33.6 31.6896096 0 0.0321618 0.00731735538613802 0 0
"P07_011978" 0 0 0 0 0.323945360128865 0 0 0 0 0 0 0 0 0 0 0 0
"P07_011979" 0 0 0 0 0.323945360128865 0 0 0 0 0 0 0 0 0 0 0 0
"P08_011979" 0 0 0 0 3.88734432154638 0 0 0 0 0 0 0 0 0 0 0 0
"P08_121978" 0 0 0 0 0.64789072025773 0 0 0 0 0 0 0 0 0 0 0 0
"P09_011979" 0 0 0 0 2.26761752090205 0 0 0 0 0 0 0 0 0 0 0 0
"P09_071978" 0 0 5.28024024 0 4.21128968167524 0 0 0 0 0 0 0 0 0 0 0 0
"P09_121978" 0 0 5.28024024 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P10_011979" 0.898512733266764 0 33.0015015 0 27.5353556109535 0.284066938591191 0 0 0 0 0 5.9418018 0 0.0082231875 0.00457334711633627 0 0
"P11_011979" 0 0 0 0 0 0.061978241147169 0.23832072 0 0 0 0 0 0 0 0 0 0
"P23_011979" 0 0 0 0 0.323945360128865 0 0 0 0 0 0 0 0 0 0 0 0
"P24_011978" 0 0 0 0 0 0 0.71496216 0 0 0 0 0 0 0.00073095 0 0 0
"P24_011979" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P25_011978" 0 0 0 0 0.323945360128865 0 0 0 0 0 0 0 0 0 0 0 0
"P25_011979" 0 0 0 0 0.323945360128865 0 0 0 0 0 0 0 0 0 0 0 0
"P26_011979" 0 0 36.96168168 429.260991580917 71.5919245884791 0 0 0 0 0.00544 0 1.58448048 0 0.0116952 0 0.635539673517413 0
"P27_011979" 0 0 0 0 44.7044596977833 0 0 0 0.211279454357392 0 0 0 0 0.0102333 0 0 0
"P28_011979" 0 0 0 0 1.94367216077319 0 0 0 0 0 0 23.7672072 0 0.00657855 0 0.155009676467662 0
"P32_011979" 0 0 5.28024024 0 74.8313781897678 0.537144756608798 0 0.48 0.00812613285989971 0 0 0 0 0 0 0 27.7284084
