"sampl" "month_year_date" "Vr_micro_g_Glu_l_h" "Vmax_mu_g_Glu_l_h" "Kt_u_Sn_mu_g_Glu_l" "vr_B_mu_g_Glu_h_Zelle_10_to_9" "Vmax__B_mu_g_Glu_h_Zelle_10_to_9" "vmax_over_Br" "vr_over_Br" "attached_rod_0to1" "attached_rod_1to2" "attached_rod_2to3" "attached_rod_3to4" "attached_rod_4to" "attached_cocci_0to0_5" "attached_cocci_0_5to1" "attached_cocci_1to2" "attached_cocci_2to" "attached_div" "free_rod_0to1" "free_rod_1to2" "free_rod_2to3" "free_rod_3to4" "free_rod_4to" "free_cocci_0to0_5" "free_cocci_0_5to1" "free_cocci_1to2" "free_cocci_2to" "free_div" "free_sum" "total_Prok_10to6_per_ml" "large_prok" "small_prok" "rods_percent" "cocci_percent" "large_prok_percent" "small_prok_percent" "total_Prok_10to6_per_ml" "attached_Prok_10to6_per_ml" "free_Prok_10to6_per_ml" "total_mittl_ProkVol_mum_to3" "attached_mittl_ProkVol_mum_to3" "free_mittl_ProkVol_mum_to3" "proportion_attached_rods" "proportion_attached_large_prok" "proportion_free_rods" "proportion_free_large_prok" "proportion_free_attached" "ProkBiomasse_mg_TS_L" "mittl_ProkVol_mum_to3_in_1_mL_sed" "drymass_mug_rod_0to1" "drymass_mug_rod_1to2" "drymass_mug_rod_2to3" "drymass_mug_rod_3to4" "drymass_mug_rod_4to" "drymass_mug_cocci_0to0_5" "drymass_mug_cocci_0_5to1" "drymass_mug_cocci_1to2" "drymass_mug_cocci_2to" "drymass_mug_per_L"
"P01_011979" "011979" 0.17 0.17 41 0.06 0.058 0.568 0.582 276 184 38 10 0 276 152 6 0 0 466 174 49 3 3 993 209 5 0 0 1902 2.8 27 2011 42.2995780590717 57.7004219409283 0.949367088607595 70.7102672292546 2.8 949 1901 292120 0.103 NA 17.8621659634318 0.562587904360056 24.4374120956399 0.386779184247539 NA 0.088 NA 11.9091 22.9836 8.3781 1.6692 0.5778 12.22047 28.97025 7.062 0 93.77052
"P01_021980" "021980" 2.4 NA NA 0.16 NA NA 1.69 1692 1358 90 0 0 2070 424 22 0 0 2438 1648 312 45 0 4621 456 11 0 22 9553 15 33 10822 49.7098390925877 50.1450804537062 0.217620680559219 71.3663940912688 15 NA NA 1414780 0.093 NA 20.7069374835136 0.145080453706146 29.299657082564 0.369295700342917 NA 0.43 NA 66.30255 192.9852 38.6163 0 0 64.43433 70.62 21.186 0 454.14438
"P01_041979" "041979" 0.246 0.301 192 0.06 0.058 0.44 0.538 NA NA NA NA NA NA NA NA NA NA 0.757 0.39 0.045 0.011 0.022 2.594 0.456 0.033 0 0 4.308 NA NA NA NA NA NA NA NA 468 4309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P01_071979" "071979" NA NA NA NA NA NA NA 133.605 44.535 0 0 0 258.303 17.814 0 0 0 467.6175 200.4075 22.2675 4.4535 4.4535 2943.7635 80.163 4.4535 0 0 3727.5795 NA 13.3605 3803.289 20.9797657082002 79.0202342917998 0.319488817891374 90.9478168264111 NA NA NA 219646.62 NA NA 4.25985090521832 0 16.7199148029819 0.319488817891374 NA NA NA 9.649621125 15.7253085 2.14436025 0.5718294 0.8577441 30.835900395 7.86265425 2.859147 0 70.50656502
"P01_101979" "101979" 0.11 NA NA 0.03 0.037 NA NA 187.04868 71.25664 0 0 0 356.2832 35.62832 0 0 0 467.6217 262.75886 26.72124 17.81416 0 2039.72132 164.78098 4.45354 0 0 2983.8718 NA 22.2677 3050.6749 28.4313725490196 71.5686274509804 0.612745098039216 83.9460784313726 NA NA NA 245568.1956 NA NA 7.1078431372549 0 21.3235294117647 0.612745098039216 NA NA NA 10.507459599 21.4437951 2.573255412 2.287338144 0 23.0735235276 16.082846325 2.85917268 0 78.8273907876
"P03_011979" "011979" 0.3 0.35 130 0.077 0.089 0.806 0.693 900 228 22 0 0 846 532 32 0 0 532 125 16 0 0 504 163 0 0 0 1340 3.9 33 2783 46.7435897435897 53.2820512820513 0.846153846153846 71.3589743589744 3.9 2560 1340 433630 0.111 NA 29.4871794871795 0.82051282051282 17.2564102564103 0 NA 0.13 NA 22.9836 22.6626 3.6594 0 0 13.01013 55.6935 21.186 0 139.19523
"P03_021980" "021980" 1.3 NA NA 0.13 1.337 NA NA 1542.0313 732.04735 128.0387 0 0 3287.25445 709.77975 22.2676 0 0 773.7991 743.18115 147.52285 22.2676 22.2676 1789.75835 336.79745 0 0 89.0704 3924.6645 10.3 0 10020.465 52.9809724957355 46.6807610816377 0 76.1099365461484 10.3 NA NA 1065843.4605 0.095 NA 18.2451611861228 0.169132432779817 12.980914215851 0.338264865559635 NA 0.29 NA 75.76807602 139.38466815 8.0414231625 0 0 51.036232338 67.90535115 0 0 342.1357508205
"P03_041979" "041979" 0.803 1.1 251 0.83 0.067 0.606 0.83 2672 1272 32 0 0 3817 1018 64 0 64 684 509 111 32 32 1288 382 0 10 10 3058 NA 144 8462 44.496253122398 54.8376353039134 1.19900083263947 70.4579517069109 NA 8939 3070 1326080 NA NA 33.1057452123231 0.532889258950874 11.3905079100749 0.616153205661948 NA NA NA 53.8638 114.3402 13.7709 4.1088 6.1632 49.17078 112.35 41.088 30.816 425.67168
"P03_071979" "071979" 0.284 0.347 118 0.075 0.092 1.22 1 572.27475 177.026625 15.58725 0 0 1199.104875 159.212625 8.907 0 26.721 385.22775 119.131125 14.473875 0 0 983.110125 107.997375 8.907 0 8.907 1627.75425 NA 17.814 3139.7175 33.9017935901205 65.1573066745075 0.470449867685975 82.916789179653 NA NA NA 284021.9625 NA NA 20.1999411937665 0.235224933842987 13.701852396354 0.235224933842987 NA NA NA 15.367915125 19.01332755 2.8948863375 0 0 21.01473045 21.4436025 11.436588 0 91.1710499625
"P03_101979" "101979" 0.526 NA NA 0.083 0.098 0.987 0.839 1208.0173 449.991083333333 68.6584333333333 0 0 2151.60685 227.315083333333 14.8450666666667 0 44.5352 436.073833333333 375.76575 125.25525 0 0 873.075483333333 281.12845 37.1126666666667 0 29.6901333333333 2158.10156666667 NA 51.9577333333333 4668.77346666667 42.1276595744681 56.6984592809978 0.821716801173881 73.8371239911959 NA NA NA 627296.848333333 NA NA 27.3074101247249 0.234776228906823 14.8202494497432 0.586940572267058 NA NA NA 26.38766269 53.0135887 18.673887705 0 0 29.12769087 40.80259355 33.3568648 0 201.362288315
